municipio,zona,tarifa_cup,activo,origen
Arroyo Naranjo,,2700,yes,Tarifa general
Boyeros,,3000,yes,Tarifa general
Centro Habana,,1600,yes,Tarifa general
Cerro,,1700,yes,Tarifa general
Cotorro,,2900,yes,Tarifa general
Diez de Octubre,,1700,yes,Tarifa general
Guanabacoa,,2600,yes,Tarifa general
Habana del Este,,3000,yes,Tarifa general
Habana Vieja,,1800,yes,Tarifa general
La Lisa,,3000,yes,Tarifa general
Marianao,,2000,yes,Tarifa general
Playa,,1800,yes,Tarifa general
Plaza de la Revolución,,1500,yes,Tarifa general
Regla,,2100,yes,Tarifa general
San Miguel del Padrón,,3500,yes,Tarifa general
Arroyo Naranjo,Poey,2000,yes,"Actual + 1,000"
Arroyo Naranjo,Santa Amalia,1900,yes,"Actual + 1,000"
Arroyo Naranjo,Mantilla,2500,yes,"Actual + 1,000"
Arroyo Naranjo,La Palma,2000,yes,"Actual + 1,000"
Arroyo Naranjo,Víbora Park,1900,yes,"Actual + 1,000"
Arroyo Naranjo,Los Pinos,1900,yes,"Actual + 1,000"
Arroyo Naranjo,Managua,3900,yes,"Actual + 1,000"
Arroyo Naranjo,Calvario,2500,yes,"Actual + 1,000"
Arroyo Naranjo,Güinera,2500,yes,"Actual + 1,000"
Arroyo Naranjo,Eléctrico,2700,yes,"Actual + 1,000"
Arroyo Naranjo,Párraga,2400,yes,"Actual + 1,000"
Arroyo Naranjo,Arroyo Apolo,2000,yes,"Actual + 1,000"
Arroyo Naranjo,Porvenir,2300,yes,"Actual + 1,000"
Arroyo Naranjo,Montejo,2300,yes,"Actual + 1,000"
Arroyo Naranjo,Callejas,2000,yes,"Actual + 1,000"
Arroyo Naranjo,Vieja Linda,2300,yes,"Actual + 1,000"
Arroyo Naranjo,Rosario,2400,yes,"Actual + 1,000"
Arroyo Naranjo,Capri,2400,yes,"Actual + 1,000"
Arroyo Naranjo,Comodoro,2500,yes,"Actual + 1,000"
Arroyo Naranjo,El Retiro,2500,yes,"Actual + 1,000"
Arroyo Naranjo,Parcelación Moderna,2900,yes,"Actual + 1,000"
Arroyo Naranjo,Gavilán,3500,yes,"Actual + 1,000"
Arroyo Naranjo,El Moro,2300,yes,"Actual + 1,000"
Arroyo Naranjo,Reparto La Solita,2300,yes,"Actual + 1,000"
Arroyo Naranjo,Las Guásimas,3300,yes,"Actual + 1,000"
Arroyo Naranjo,Café Colón,2400,yes,Completada
Arroyo Naranjo,Naranjito,1700,yes,"Actual + 1,000"
Arroyo Naranjo,Las Lajas,2400,yes,"Actual + 1,000"
Arroyo Naranjo,Reparto Eléctrico,2700,yes,"Actual + 1,000"
Arroyo Naranjo,La Fortuna,2300,yes,"Actual + 1,000"
Arroyo Naranjo,Arroyo Naranjo,2700,yes,"Actual + 1,000"
Boyeros,Santiago de las Vegas,3300,yes,"Actual + 1,000"
Boyeros,Rancho Boyeros,2700,yes,"Actual + 1,000"
Boyeros,Calabazar,2700,yes,"Actual + 1,000"
Boyeros,Abel Santamaría,2700,yes,"Actual + 1,000"
Boyeros,Fontanar,2600,yes,"Actual + 1,000"
Boyeros,Wajay,2900,yes,"Actual + 1,000"
Boyeros,Altahabana,1900,yes,"Actual + 1,000"
Boyeros,Capdevila,2000,yes,"Actual + 1,000"
Boyeros,Aldabó,2000,yes,"Actual + 1,000"
Boyeros,Trébol,2600,yes,"Actual + 1,000"
Boyeros,Mulgoba,3200,yes,"Actual + 1,000"
Boyeros,Los Cocos,3600,yes,"Actual + 1,000"
Boyeros,La Catalina,3200,yes,"Actual + 1,000"
Boyeros,Lídice,2700,yes,Completada
Boyeros,El Chico,3100,yes,"Actual + 1,000"
Boyeros,Juan Manuel Márquez,2700,yes,Completada
Boyeros,Alturas de La Habana,2600,yes,"Actual + 1,000"
Boyeros,Sierra Maestra,3500,yes,"Actual + 1,000"
Boyeros,El Globo,3000,yes,"Actual + 1,000"
Boyeros,Nuevo Santiago,2900,yes,"Actual + 1,000"
Boyeros,La Fortuna,2300,yes,"Actual + 1,000"
Boyeros,Miraflores Viejos,1800,yes,"Actual + 1,000"
Boyeros,Cepero Bonilla,2700,yes,Completada
Boyeros,El Trigal,2400,yes,"Actual + 1,000"
Boyeros,José Antonio Saco,2700,yes,Completada
Boyeros,Ampliación de Mulgoba,3200,yes,"Actual + 1,000"
Boyeros,Villa Nueva,2700,yes,Completada
Boyeros,Aurora,2700,yes,Completada
Boyeros,Nueva Aurora,2700,yes,Completada
Boyeros,El Especial,2700,yes,Completada
Boyeros,Armada-Aldabó,2700,yes,Completada
Boyeros,Embil,1800,yes,"Actual + 1,000"
Boyeros,Río Verde,2600,yes,"Actual + 1,000"
Boyeros,Mazorra,2600,yes,"Actual + 1,000"
Boyeros,Panamérica,2700,yes,"Actual + 1,000"
Boyeros,Baluarte,2700,yes,"Actual + 1,000"
Boyeros,Berenguer,2900,yes,"Actual + 1,000"
Boyeros,Nazareno,2700,yes,"Actual + 1,000"
Boyeros,Las Cañas,2600,yes,"Actual + 1,000"
Boyeros,El Rincón,3800,yes,"Actual + 1,000"
Boyeros,Bejucal,4000,yes,"Actual + 1,000"
Boyeros,Reloj Club,1900,yes,"Actual + 1,000"
Boyeros,Río Cristal,2400,yes,"Actual + 1,000"
Boyeros,Aeropuerto Terminal 1,3000,yes,Completada
Boyeros,Aeropuerto Terminal 2,3000,yes,Completada
Boyeros,Aeropuerto Terminal 3,3000,yes,Completada
Boyeros,Aeropuerto Terminal 5,3000,yes,Completada
Boyeros,Aerovaradero,3000,yes,Completada
Boyeros,1ro. de Mayo,2700,yes,Completada
Boyeros,Lugardita,2900,yes,"Actual + 1,000"
Boyeros,Cacahual,2800,yes,Completada
Boyeros,María del Carmen,2300,yes,"Actual + 1,000"
Boyeros,Boyeros,3000,yes,Completada
Centro Habana,Cayo Hueso,1600,yes,"Actual + 1,000"
Centro Habana,Dragones,1600,yes,"Actual + 1,000"
Centro Habana,Colón,1700,yes,"Actual + 1,000"
Centro Habana,Los Sitios,1600,yes,"Actual + 1,000"
Centro Habana,Pueblo Nuevo,1600,yes,"Actual + 1,000"
Centro Habana,Centro Habana,1600,yes,"Actual + 1,000"
Cerro,El Cerro,1700,yes,"Actual + 1,000"
Cerro,Casino Deportivo,1650,yes,"Actual + 1,000"
Cerro,Las Cañas,1700,yes,"Actual + 1,000"
Cerro,Palatino,1650,yes,"Actual + 1,000"
Cerro,El Canal,1650,yes,"Actual + 1,000"
Cerro,Esquina de Tejas,1650,yes,"Actual + 1,000"
Cerro,Reparto Martí,1700,yes,"Actual + 1,000"
Cerro,Atarés,1650,yes,"Actual + 1,000"
Cerro,Puentes Grandes,1600,yes,"Actual + 1,000"
Cerro,20 de Mayo,1600,yes,"Actual + 1,000"
Cerro,Ayestarán,1600,yes,"Actual + 1,000"
Cotorro,Santa María del Rosario,2900,yes,"Actual + 1,000"
Cotorro,Cotorro,2900,yes,Completada
Cotorro,Cuatro Caminos,3900,yes,"Actual + 1,000"
Cotorro,Alberro,3600,yes,"Actual + 1,000"
Cotorro,Magdalena,3200,yes,"Actual + 1,000"
